payroll_number,first_name,last_name,department,position,job,latest_start_date,job_seniority_date,total_salary,gender,assignment_status,assignment_category,race_ethnicity
729389,Annabell,Schroter,Marketing,A138.Department Name.Division Name.03,Web Developer I,2004-01-06,2004-01-06,47480.75,F,Active Assignment,Fulltime-Temporary,Asian
170261,Gerek,Thackston,Support,R263.Department Name.Division Name.01,Graphic Designer,2005-01-06,2005-01-06,144079.34,M,Active Assignment,Parttime-Regular,Asian
710581,Sigvard,Clayden,Business Development,T840.Department Name.Division Name.08,Librarian,2001-10-11,2001-10-11,148479.51,M,Active Assignment,Parttime-Regular,Asian
656822,Jacquelynn,Evequot,Training,P405.Department Name.Division Name.02,Engineer IV,2002-12-17,2002-12-17,140815.54,F,Active Assignment,Fulltime-Regular,Asian
721296,Donnajean,Gery,Research and Development,Z661.Department Name.Division Name.09,Civil Engineer,2011-09-21,2011-09-21,127587.56,F,Active Assignment,Parttime-Regular,Black or African American
446766,Jeremias,Abbatucci,Services,N661.Department Name.Division Name.09,Senior Cost Accountant,2015-01-17,2015-01-17,122248.56,M,Active Assignment,Fulltime-Regular,Hispanic or Latino of any race
228745,Robena,Reyes,Support,S902.Department Name.Division Name.03,Web Designer II,2001-02-22,2001-02-22,144341.43,F,Active Assignment,Fulltime-Temporary,Asian
337794,Ernie,Ferson,Legal,R770.Department Name.Division Name.03,Accounting Assistant III,2003-12-26,2003-12-26,104850.13,M,Active Assignment,Fulltime-Regular,
652422,Charline,Lubeck,Legal,E877.Department Name.Division Name.05,Human Resources Manager,2007-12-20,2007-12-20,58644.47,F,Active Assignment,Fulltime-Temporary,Black or African American
179721,Ava,OIlier,Services,R428.Department Name.Division Name.03,Electrical Engineer,2013-07-05,2013-07-05,77473.35,F,Active Assignment,Fulltime-Regular,White
715863,Aloin,Hansel,Sales,T814.Department Name.Division Name.03,Accounting Assistant III,2010-08-05,2010-08-05,105780.41,M,Active Assignment,Fulltime-Temporary,White
964373,Briano,Aberkirder,Business Development,G903.Department Name.Division Name.08,Sales Associate,2001-05-06,2001-05-06,94828.47,M,Active Assignment,Fulltime-Regular,Hispanic or Latino of any race
872043,Ianthe,Mangion,Sales,Q983.Department Name.Division Name.06,General Manager,2001-03-14,2001-03-14,101010.93,F,Active Assignment,Fulltime-Temporary,American Indian or Alaskan Native
249642,Leta,Coxon,Accounting,Q640.Department Name.Division Name.09,Electrical Engineer,2004-03-23,2004-03-23,142556.31,F,Active Assignment,Parttime-Regular,Black or African American
527707,Hannie,Zimek,Engineering,K883.Department Name.Division Name.06,Human Resources Assistant IV,2006-07-06,2006-07-06,123460.22,F,Active Assignment,Fulltime-Temporary,Black or African American
775515,Madelena,McGlashan,Training,A829.Department Name.Division Name.04,Compensation Analyst,2005-03-09,2005-03-09,90602.79,F,Active Assignment,Fulltime-Regular,Hispanic or Latino of any race
260153,Jolie,Ratcliff,Services,N838.Department Name.Division Name.05,Budget/Accounting Analyst I,2008-04-05,2008-04-05,44637.00,F,Active Assignment,Parttime-Regular,Asian
622470,Dinah,Mangeot,Accounting,P761.Department Name.Division Name.05,Human Resources Manager,2011-08-22,2011-08-22,74432.40,F,Active Assignment,Parttime-Regular,Hispanic or Latino of any race
354437,Katinka,Johns,Human Resources,E341.Department Name.Division Name.03,Developer IV,2006-02-05,2006-02-05,90850.61,F,Active Assignment,Fulltime-Temporary,Black or African American
495166,Rachel,Carrivick,Services,U876.Department Name.Division Name.02,General Manager,2013-07-29,2013-07-29,135594.38,F,Active Assignment,Fulltime-Temporary,Hispanic or Latino of any race
784778,Sandor,Throssell,Human Resources,Y516.Department Name.Division Name.06,Staff Accountant II,2011-10-12,2011-10-12,43689.83,M,Active Assignment,Fulltime-Regular,
342707,Hi,Cheney,Engineering,H020.Department Name.Division Name.06,Sales Associate,2003-04-12,2003-04-12,56784.24,M,Active Assignment,Fulltime-Regular,Black or African American
739135,Gran,Exer,Accounting,O581.Department Name.Division Name.05,GIS Technical Architect,2015-09-19,2015-09-19,142734.95,M,Active Assignment,Fulltime-Regular,Black or African American
440309,Gustie,Luparti,Business Development,G655.Department Name.Division Name.02,Human Resources Assistant I,2004-06-17,2004-06-17,94173.03,F,Active Assignment,Fulltime-Temporary,Black or African American
895610,Eveline,Ridings,Engineering,E175.Department Name.Division Name.08,Nurse,2014-04-09,2014-04-09,59674.52,F,Active Assignment,Fulltime-Temporary,Black or African American
143562,Seth,Souness,Human Resources,Z173.Department Name.Division Name.04,Legal Assistant,2016-05-18,2016-05-18,138878.79,M,Active Assignment,Parttime-Regular,Native Hawaiian or Other Pacific
527189,Marie-jeanne,O'Corrin,Accounting,G725.Department Name.Division Name.03,Assistant Manager,2012-10-26,2012-10-26,40421.63,F,Active Assignment,Fulltime-Temporary,White
735812,Rainer,Large,Human Resources,J022.Department Name.Division Name.02,VP Product Management,2016-02-22,2016-02-22,45961.32,M,Active Assignment,Parttime-Regular,Asian
199169,Mitchael,Bell,Engineering,A793.Department Name.Division Name.06,Paralegal,2016-05-27,2016-05-27,73126.16,M,Active Assignment,Parttime-Regular,Black or African American
725310,Early,Dowthwaite,Legal,Y478.Department Name.Division Name.04,Project Manager,2016-03-29,2016-03-29,102326.05,M,Active Assignment,Fulltime-Regular,Asian
989973,Mavis,Coils,Legal,N213.Department Name.Division Name.00,Environmental Tech,2014-04-27,2014-04-27,65764.21,F,Active Assignment,Parttime-Regular,Black or African American
104144,Zach,Shafto,Legal,G521.Department Name.Division Name.02,Assistant Manager,2017-04-18,2017-04-18,147251.48,M,Active Assignment,Fulltime-Regular,
984548,Leontine,Cartmer,Research and Development,N636.Department Name.Division Name.01,Human Resources Assistant III,2007-12-27,2007-12-27,109036.17,F,Active Assignment,Fulltime-Temporary,Black or African American
633939,Marga,Pohl,Business Development,Z038.Department Name.Division Name.06,Nurse,2005-08-08,2005-08-08,120425.35,F,Active Assignment,Parttime-Regular,Native Hawaiian or Other Pacific
344246,Amabelle,MacNulty,Human Resources,H854.Department Name.Division Name.05,Recruiter,2004-06-28,2004-06-28,44888.65,F,Active Assignment,Fulltime-Temporary,Black or African American
815566,Rivi,Raund,Business Development,H514.Department Name.Division Name.08,Accounting Assistant II,2012-11-11,2012-11-11,124818.93,F,Active Assignment,Fulltime-Regular,Hispanic or Latino of any race
326623,Bern,Creffeild,Engineering,U347.Department Name.Division Name.01,Database Administrator II,2008-02-14,2008-02-14,96190.04,M,Active Assignment,Fulltime-Regular,Asian
372642,Demetris,Hessentaler,Research and Development,Q520.Department Name.Division Name.02,VP Quality Control,2013-08-17,2013-08-17,90268.41,F,Active Assignment,Fulltime-Temporary,Black or African American
576422,Betta,Hanretty,Accounting,H603.Department Name.Division Name.07,Accountant III,2002-09-01,2002-09-01,138663.97,F,Active Assignment,Fulltime-Temporary,Hispanic or Latino of any race
328980,Gauthier,Louys,Marketing,L407.Department Name.Division Name.01,Dental Hygienist,2012-05-02,2012-05-02,74142.61,M,Active Assignment,Fulltime-Temporary,
554723,Kelsi,Maxweell,Product Management,E911.Department Name.Division Name.06,Chief Design Engineer,2014-11-09,2014-11-09,115694.49,F,Active Assignment,Fulltime-Regular,White
951017,Bart,Vidineev,Human Resources,K173.Department Name.Division Name.00,Nurse,2008-10-01,2008-10-01,104251.52,M,Active Assignment,Fulltime-Temporary,
129162,Quintana,Gonnard,Research and Development,I802.Department Name.Division Name.02,Senior Cost Accountant,2008-10-03,2008-10-03,132851.83,F,Active Assignment,Parttime-Regular,Hispanic or Latino of any race
865373,Lisbeth,Casa,Sales,V225.Department Name.Division Name.08,Clinical Specialist,2011-06-12,2011-06-12,92924.09,F,Active Assignment,Parttime-Regular,White
177781,Matteo,Torresi,Research and Development,M681.Department Name.Division Name.07,Account Executive,2006-03-17,2006-03-17,53140.12,M,Active Assignment,Fulltime-Temporary,
551008,Ricki,Sudy,Business Development,C195.Department Name.Division Name.03,Director of Sales,2015-05-29,2015-05-29,52832.24,M,Active Assignment,Fulltime-Temporary,Hispanic or Latino of any race
723467,Codi,Oldcote,Business Development,Q981.Department Name.Division Name.07,Programmer Analyst II,2002-09-24,2002-09-24,88147.97,M,Active Assignment,Fulltime-Regular,Black or African American
747032,Gwyn,Leadbeater,Product Management,C944.Department Name.Division Name.06,Paralegal,2007-05-21,2007-05-21,71222.95,F,Active Assignment,Fulltime-Regular,Hispanic or Latino of any race
866881,Megan,Dubarry,Accounting,J361.Department Name.Division Name.07,Administrative Officer,2008-11-24,2008-11-24,105384.06,F,Active Assignment,Parttime-Regular,Black or African American
906115,Stanislas,Lipgens,Business Development,T370.Department Name.Division Name.03,Librarian,2016-10-21,2016-10-21,144509.76,M,Active Assignment,Fulltime-Temporary,Native Hawaiian or Other Pacific
463107,Elva,Le Noire,Business Development,J764.Department Name.Division Name.00,Budget/Accounting Analyst II,2004-06-15,2004-06-15,50738.30,F,Active Assignment,Fulltime-Regular,Asian
601006,Bambie,Stidworthy,Engineering,P200.Department Name.Division Name.01,GIS Technical Architect,2004-02-03,2004-02-03,124119.72,F,Active Assignment,Parttime-Regular,
346743,Luciana,Ferreri,Marketing,U620.Department Name.Division Name.02,VP Quality Control,2002-03-12,2002-03-12,97726.22,F,Active Assignment,Parttime-Regular,Native Hawaiian or Other Pacific
718267,Bail,Almeida,Training,I490.Department Name.Division Name.02,Developer II,2012-01-10,2012-01-10,56716.41,M,Active Assignment,Parttime-Regular,Black or African American
998581,Brett,Breinlein,Legal,I438.Department Name.Division Name.04,Electrical Engineer,2009-08-15,2009-08-15,111298.97,F,Active Assignment,Parttime-Regular,Asian
990018,Rodd,Bownes,Accounting,E329.Department Name.Division Name.08,Senior Sales Associate,2001-05-24,2001-05-24,70278.19,M,Active Assignment,Parttime-Regular,
612660,Frederick,Taaffe,Support,Z943.Department Name.Division Name.00,Nurse,2009-11-25,2009-11-25,83538.99,M,Active Assignment,Parttime-Regular,Hispanic or Latino of any race
177037,Cooper,Yurasov,Marketing,O991.Department Name.Division Name.09,Data Coordiator,2004-10-04,2004-10-04,57716.64,M,Active Assignment,Fulltime-Regular,Black or African American
294437,Clyde,Bulman,Support,Z970.Department Name.Division Name.07,VP Product Management,2008-03-18,2008-03-18,75032.30,M,Active Assignment,Parttime-Regular,Black or African American
268828,Zak,Senton,Support,L079.Department Name.Division Name.03,Electrical Engineer,2013-07-31,2013-07-31,95960.97,M,Active Assignment,Parttime-Regular,White
507574,Shay,St. Leger,Human Resources,X369.Department Name.Division Name.03,Marketing Assistant,2011-05-30,2011-05-30,85572.59,M,Active Assignment,Fulltime-Regular,White
862367,Caprice,Duggon,Product Management,V417.Department Name.Division Name.09,Assistant Manager,2009-11-19,2009-11-19,44562.01,F,Active Assignment,Fulltime-Regular,Hispanic or Latino of any race
577463,Giusto,Santer,Services,N023.Department Name.Division Name.05,Assistant Manager,2008-09-20,2008-09-20,48845.67,M,Active Assignment,Parttime-Regular,Hispanic or Latino of any race
744568,Garfield,Gillitt,Support,Q863.Department Name.Division Name.03,Director of Sales,2013-05-08,2013-05-08,131432.34,M,Active Assignment,Fulltime-Temporary,White
670487,Ignaz,Tilston,Sales,W048.Department Name.Division Name.09,VP Quality Control,2014-12-11,2014-12-11,75060.07,M,Active Assignment,Parttime-Regular,White
955483,Betteanne,Nowaczyk,Accounting,I407.Department Name.Division Name.04,Environmental Specialist,2011-04-23,2011-04-23,141407.70,F,Active Assignment,Parttime-Regular,White
228980,Fitzgerald,Checcuzzi,Sales,N359.Department Name.Division Name.02,Project Manager,2002-06-30,2002-06-30,63645.04,M,Active Assignment,Parttime-Regular,Black or African American
365135,Ingamar,Lieb,Research and Development,Y131.Department Name.Division Name.05,Media Manager III,2017-04-27,2017-04-27,131976.95,M,Active Assignment,Fulltime-Temporary,Hispanic or Latino of any race
277524,Jackie,Stanning,Support,I309.Department Name.Division Name.06,Human Resources Assistant III,2013-05-21,2013-05-21,127352.14,M,Active Assignment,Fulltime-Regular,White
363562,Maxy,Danniel,Training,K817.Department Name.Division Name.05,Legal Assistant,2008-01-12,2008-01-12,116779.37,F,Active Assignment,Parttime-Regular,Asian
540224,Keefer,Giacomo,Marketing,Z870.Department Name.Division Name.07,Geological Engineer,2006-10-26,2006-10-26,60988.50,M,Active Assignment,Fulltime-Regular,White
226549,Caresa,Vinter,Services,O967.Department Name.Division Name.04,Accounting Assistant I,2005-01-24,2005-01-24,115259.30,F,Active Assignment,Fulltime-Regular,
401594,Brennan,Abdon,Product Management,S864.Department Name.Division Name.09,Accountant I,2016-02-18,2016-02-18,57869.24,M,Active Assignment,Parttime-Regular,Black or African American
335330,Addie,O'Keeffe,Support,J566.Department Name.Division Name.08,Research Nurse,2013-09-29,2013-09-29,128535.42,M,Active Assignment,Fulltime-Regular,White
387040,Theo,De La Cote,Training,L096.Department Name.Division Name.03,Dental Hygienist,2002-12-09,2002-12-09,112446.40,F,Active Assignment,Fulltime-Temporary,Black or African American
976536,Garth,Andretti,Services,C506.Department Name.Division Name.02,Accountant III,2014-04-30,2014-04-30,86539.05,M,Active Assignment,Fulltime-Temporary,Asian
736051,Dewain,Gerardi,Marketing,E964.Department Name.Division Name.07,Office Assistant II,2014-02-05,2014-02-05,76423.98,M,Active Assignment,Fulltime-Regular,Hispanic or Latino of any race
675454,Waite,Valens-Smith,Business Development,B487.Department Name.Division Name.01,Structural Engineer,2000-09-30,2000-09-30,67873.15,M,Active Assignment,Fulltime-Regular,Asian
319537,Jilli,Housbey,Marketing,A768.Department Name.Division Name.01,Web Developer IV,2015-01-10,2015-01-10,85965.84,F,Active Assignment,Fulltime-Temporary,White
520855,Heath,Buddell,Services,O467.Department Name.Division Name.03,Compensation Analyst,2014-02-07,2014-02-07,90237.45,F,Active Assignment,Fulltime-Regular,Black or African American
226567,Mortie,Cakebread,Marketing,A341.Department Name.Division Name.01,Cost Accountant,2014-03-13,2014-03-13,65072.03,M,Active Assignment,Parttime-Regular,Black or African American
297419,Halsy,Grimolbie,Marketing,K285.Department Name.Division Name.00,Payment Adjustment Coordinator,2009-06-18,2009-06-18,140439.66,M,Active Assignment,Parttime-Regular,Asian
258768,Quincey,Vanes,Training,U317.Department Name.Division Name.03,Chemical Engineer,2013-09-22,2013-09-22,111427.44,M,Active Assignment,Parttime-Regular,Asian
370932,Hermia,Krystek,Marketing,D752.Department Name.Division Name.06,Structural Engineer,2016-02-17,2016-02-17,91215.11,F,Active Assignment,Parttime-Regular,White
610038,Kahlil,Francescuzzi,Training,N107.Department Name.Division Name.00,Librarian,2016-04-07,2016-04-07,90936.43,M,Active Assignment,Parttime-Regular,Asian
461579,Davida,Doncaster,Support,D336.Department Name.Division Name.09,Desktop Support Technician,2010-02-04,2010-02-04,92699.98,F,Active Assignment,Fulltime-Regular,Hispanic or Latino of any race
281681,Lek,Colenutt,Business Development,R860.Department Name.Division Name.08,Graphic Designer,2005-04-22,2005-04-22,149720.79,M,Active Assignment,Parttime-Regular,White
349215,Iain,Krysztofiak,Human Resources,S329.Department Name.Division Name.07,Sales Representative,2011-11-06,2011-11-06,70119.15,M,Active Assignment,Fulltime-Regular,Native Hawaiian or Other Pacific
176925,Cathrine,Test,Support,V555.Department Name.Division Name.08,Biostatistician I,2012-11-17,2012-11-17,40865.44,F,Active Assignment,Parttime-Regular,Asian
493309,Reilly,Jaye,Support,X351.Department Name.Division Name.02,Executive Secretary,2007-09-01,2007-09-01,121312.55,M,Active Assignment,Fulltime-Temporary,Black or African American
111025,Frank,Points,Product Management,X937.Department Name.Division Name.05,Senior Editor,2011-12-15,2011-12-15,132264.66,F,Active Assignment,Fulltime-Temporary,Black or African American
716447,Chad,Fritchly,Sales,N546.Department Name.Division Name.04,Marketing Assistant,2001-08-12,2001-08-12,88019.27,F,Active Assignment,Fulltime-Regular,Hispanic or Latino of any race
863157,Arni,Weekland,Human Resources,K640.Department Name.Division Name.03,Web Developer III,2008-11-15,2008-11-15,99978.83,M,Active Assignment,Parttime-Regular,Black or African American
881683,Craig,Heap,Marketing,J122.Department Name.Division Name.02,Geological Engineer,2002-04-13,2002-04-13,67898.05,M,Active Assignment,Fulltime-Regular,Asian
659668,Jany,Cashen,Legal,N201.Department Name.Division Name.04,Paralegal,2014-07-05,2014-07-05,49725.02,F,Active Assignment,Parttime-Regular,Black or African American
148577,Jilli,Ellingford,Support,P644.Department Name.Division Name.06,Teacher,2003-12-08,2003-12-08,109888.82,F,Active Assignment,Parttime-Regular,Asian
750816,Jacqui,Lardez,Human Resources,U884.Department Name.Division Name.06,Civil Engineer,2017-01-02,2017-01-02,62561.89,F,Active Assignment,Fulltime-Temporary,White
754430,Karel,Hallas,Services,R295.Department Name.Division Name.02,VP Quality Control,2007-01-16,2007-01-16,97070.91,F,Active Assignment,Parttime-Regular,Black or African American
302622,Jacquette,Jaggi,Accounting,R068.Department Name.Division Name.05,Sales Associate,2012-07-20,2012-07-20,135486.08,F,Active Assignment,Parttime-Regular,Hispanic or Latino of any race
538844,Leodora,Iggulden,Business Development,H258.Department Name.Division Name.09,Biostatistician IV,2000-12-06,2000-12-06,52365.44,F,Active Assignment,Parttime-Regular,Black or African American
470216,Freida,Hutcheon,Accounting,K947.Department Name.Division Name.01,Administrative Assistant IV,2012-03-10,2012-03-10,149912.72,F,Active Assignment,Parttime-Regular,Hispanic or Latino of any race
530799,Jessy,Cockell,Support,U940.Department Name.Division Name.05,Paralegal,2009-05-09,2009-05-09,143869.98,F,Active Assignment,Fulltime-Temporary,Hispanic or Latino of any race
465696,Dudley,Plowes,Accounting,Z337.Department Name.Division Name.07,Office Assistant III,2002-01-28,2002-01-28,45266.32,M,Active Assignment,Fulltime-Temporary,Black or African American
714907,Arlyn,MacAlinden,Marketing,K977.Department Name.Division Name.04,Senior Financial Analyst,2010-11-26,2010-11-26,147685.82,F,Active Assignment,Fulltime-Regular,Hispanic or Latino of any race
221805,Jdavie,Vuitte,Sales,P725.Department Name.Division Name.03,Payment Adjustment Coordinator,2008-06-05,2008-06-05,46135.92,M,Active Assignment,Fulltime-Temporary,Black or African American
589111,Deana,Alves,Business Development,Y724.Department Name.Division Name.03,Senior Cost Accountant,2014-02-28,2014-02-28,78918.86,F,Active Assignment,Parttime-Regular,Black or African American
405861,Jacob,L' Estrange,Human Resources,N754.Department Name.Division Name.03,Structural Analysis Engineer,2001-07-19,2001-07-19,87628.36,M,Active Assignment,Parttime-Regular,Black or African American
264621,Geneva,Hayton,Services,A935.Department Name.Division Name.07,Data Coordiator,2011-09-07,2011-09-07,132861.41,F,Active Assignment,Fulltime-Regular,Asian
659474,Marv,Duckit,Product Management,I639.Department Name.Division Name.04,Food Chemist,2017-02-21,2017-02-21,89590.43,M,Active Assignment,Fulltime-Temporary,Hispanic or Latino of any race
263446,Riordan,Brymham,Services,R030.Department Name.Division Name.08,Engineer II,2002-12-03,2002-12-03,88848.28,M,Active Assignment,Fulltime-Regular,Native Hawaiian or Other Pacific
473260,Gilbertine,Zini,Research and Development,V661.Department Name.Division Name.00,Geological Engineer,2013-11-06,2013-11-06,110246.23,F,Active Assignment,Parttime-Regular,Black or African American
597668,Marja,Newbold,Marketing,X116.Department Name.Division Name.07,Internal Auditor,2007-02-06,2007-02-06,58716.21,F,Active Assignment,Fulltime-Regular,Black or African American
326348,Broddy,Culshew,Training,X734.Department Name.Division Name.04,Quality Control Specialist,2017-02-10,2017-02-10,45195.19,M,Active Assignment,Parttime-Regular,Hispanic or Latino of any race
742217,Marvin,Huller,Support,M425.Department Name.Division Name.07,Executive Secretary,2005-01-20,2005-01-20,90564.85,M,Active Assignment,Fulltime-Regular,Asian
651982,Krystalle,Tring,Human Resources,S260.Department Name.Division Name.02,Software Test Engineer II,2005-08-31,2005-08-31,102874.43,F,Active Assignment,Parttime-Regular,
392362,Martie,Willatt,Training,H521.Department Name.Division Name.07,Dental Hygienist,2009-03-27,2009-03-27,75535.97,M,Active Assignment,Parttime-Regular,Asian
250628,Enrique,Laneham,Business Development,L834.Department Name.Division Name.07,Recruiting Manager,2008-10-04,2008-10-04,96992.00,M,Active Assignment,Fulltime-Regular,Hispanic or Latino of any race
101946,Amery,Beardsworth,Engineering,V577.Department Name.Division Name.01,Recruiting Manager,2014-01-29,2014-01-29,107514.77,M,Active Assignment,Fulltime-Temporary,Hispanic or Latino of any race
887930,Torie,Lampart,Engineering,V472.Department Name.Division Name.02,Actuary,2016-06-14,2016-06-14,46522.92,F,Active Assignment,Fulltime-Temporary,
360179,Lilian,Arnley,Support,D587.Department Name.Division Name.02,Food Chemist,2000-11-11,2000-11-11,87891.12,F,Active Assignment,Fulltime-Regular,Hispanic or Latino of any race
626910,Lanny,Tregidgo,Legal,N547.Department Name.Division Name.03,Developer II,2009-11-29,2009-11-29,94955.94,M,Active Assignment,Fulltime-Regular,Hispanic or Latino of any race
126814,Ashia,Zammitt,Legal,K142.Department Name.Division Name.03,Automation Specialist I,2014-12-01,2014-12-01,67503.86,F,Active Assignment,Fulltime-Regular,Black or African American
483761,Dara,Batistelli,Research and Development,Y598.Department Name.Division Name.04,Nurse Practicioner,2009-11-25,2009-11-25,148357.92,F,Active Assignment,Parttime-Regular,Hispanic or Latino of any race
928046,Torr,Baumadier,Human Resources,A867.Department Name.Division Name.01,VP Product Management,2017-03-25,2017-03-25,98881.42,M,Active Assignment,Parttime-Regular,Asian
637482,Gherardo,Neeves,Accounting,N362.Department Name.Division Name.02,Senior Developer,2007-01-12,2007-01-12,123940.05,M,Active Assignment,Fulltime-Temporary,Black or African American
816655,Dina,Kelf,Product Management,Q046.Department Name.Division Name.06,Graphic Designer,2010-06-08,2010-06-08,97405.42,F,Active Assignment,Fulltime-Regular,Black or African American
256814,Humbert,MacGillreich,Research and Development,N117.Department Name.Division Name.01,Librarian,2015-01-24,2015-01-24,60133.81,M,Active Assignment,Fulltime-Temporary,
236798,Linet,Le Marchant,Human Resources,P297.Department Name.Division Name.06,Research Nurse,2004-06-14,2004-06-14,112926.73,F,Active Assignment,Fulltime-Regular,Black or African American
196252,Christie,Gravy,Human Resources,Y583.Department Name.Division Name.09,Computer Systems Analyst I,2006-02-21,2006-02-21,89557.46,M,Active Assignment,Fulltime-Regular,
539450,Alistair,Hauxby,Support,G694.Department Name.Division Name.00,Legal Assistant,2002-11-23,2002-11-23,63198.40,M,Active Assignment,Fulltime-Regular,Asian
892211,Shelley,Orsi,Product Management,G913.Department Name.Division Name.02,Executive Secretary,2002-01-07,2002-01-07,93787.11,M,Active Assignment,Parttime-Regular,Hispanic or Latino of any race
485588,Hermine,Frye,Engineering,O529.Department Name.Division Name.00,Pharmacist,2006-04-19,2006-04-19,90887.91,F,Active Assignment,Fulltime-Regular,White
556555,Auria,Tongue,Human Resources,N565.Department Name.Division Name.01,Chief Design Engineer,2016-12-07,2016-12-07,59336.84,F,Active Assignment,Fulltime-Temporary,Asian
829133,Randolph,Pidon,Training,N652.Department Name.Division Name.07,Financial Advisor,2015-12-25,2015-12-25,91025.85,M,Active Assignment,Parttime-Regular,
445633,Avrom,Draayer,Training,Y633.Department Name.Division Name.09,Social Worker,2007-01-27,2007-01-27,124433.53,M,Active Assignment,Fulltime-Temporary,Black or African American
990133,Corena,McKibben,Research and Development,N704.Department Name.Division Name.05,Database Administrator IV,2013-12-02,2013-12-02,108212.00,F,Active Assignment,Fulltime-Temporary,Asian
853580,Consuela,Skipsey,Legal,L042.Department Name.Division Name.07,Accounting Assistant I,2000-09-10,2000-09-10,134260.45,F,Active Assignment,Fulltime-Temporary,Asian
235970,Erastus,Chaperling,Human Resources,C690.Department Name.Division Name.04,Nuclear Power Engineer,2015-04-30,2015-04-30,137245.42,M,Active Assignment,Parttime-Regular,Black or African American
190808,Ronald,Bodimeade,Engineering,Q862.Department Name.Division Name.06,Project Manager,2011-02-08,2011-02-08,67786.88,M,Active Assignment,Parttime-Regular,Native Hawaiian or Other Pacific
783505,Cazzie,Hurling,Engineering,S429.Department Name.Division Name.04,Software Consultant,2004-10-23,2004-10-23,74005.66,M,Active Assignment,Parttime-Regular,Asian
972527,Hubie,Plaistowe,Legal,K106.Department Name.Division Name.00,Analyst Programmer,2006-08-25,2006-08-25,51401.30,M,Active Assignment,Fulltime-Temporary,Black or African American
317939,Leontine,Cranidge,Human Resources,E423.Department Name.Division Name.08,Media Manager IV,2007-06-25,2007-06-25,138192.14,F,Active Assignment,Parttime-Regular,White
542261,Jilleen,Shore,Business Development,C732.Department Name.Division Name.04,Web Designer III,2015-08-30,2015-08-30,144852.48,F,Active Assignment,Fulltime-Regular,Asian
238241,Florrie,Chitham,Legal,N524.Department Name.Division Name.01,Engineer IV,2002-06-10,2002-06-10,57118.32,F,Active Assignment,Fulltime-Temporary,Black or African American
998221,Celinda,Hellings,Accounting,R763.Department Name.Division Name.03,Analyst Programmer,2017-05-13,2017-05-13,50157.77,F,Active Assignment,Fulltime-Temporary,
691332,Audrey,Holbury,Accounting,Q142.Department Name.Division Name.09,Legal Assistant,2013-06-02,2013-06-02,118710.43,F,Active Assignment,Fulltime-Regular,Black or African American
110369,Husein,Romero,Accounting,I090.Department Name.Division Name.06,Tax Accountant,2016-10-05,2016-10-05,114042.19,M,Active Assignment,Fulltime-Regular,Native Hawaiian or Other Pacific
392709,Nefen,Mion,Product Management,L510.Department Name.Division Name.02,Project Manager,2001-06-04,2001-06-04,148256.21,M,Active Assignment,Fulltime-Temporary,Black or African American
374232,Fannie,Bleythin,Human Resources,F361.Department Name.Division Name.07,Clinical Specialist,2000-07-07,2000-07-07,137853.61,F,Active Assignment,Parttime-Regular,Hispanic or Latino of any race
978645,Olivero,Prandoni,Human Resources,C857.Department Name.Division Name.06,Technical Writer,2008-11-08,2008-11-08,146404.37,M,Active Assignment,Fulltime-Regular,White
468489,Gwendolen,Devote,Services,T467.Department Name.Division Name.03,Editor,2007-03-08,2007-03-08,66405.77,F,Active Assignment,Parttime-Regular,White
781017,Brenda,Thandi,Human Resources,C710.Department Name.Division Name.01,Recruiter,2006-02-18,2006-02-18,77818.63,F,Active Assignment,Fulltime-Temporary,Hispanic or Latino of any race
594308,Gertruda,Aviss,Sales,H936.Department Name.Division Name.05,Structural Engineer,2007-06-24,2007-06-24,132771.34,F,Active Assignment,Parttime-Regular,Black or African American
401577,Brandice,Orniz,Product Management,G022.Department Name.Division Name.05,Research Associate,2005-05-09,2005-05-09,73000.22,F,Active Assignment,Fulltime-Temporary,Black or African American
609453,Silvana,Jonsson,Services,O429.Department Name.Division Name.08,Human Resources Manager,2003-02-08,2003-02-08,42022.05,F,Active Assignment,Parttime-Regular,Black or African American
962730,Banky,Francescotti,Research and Development,X188.Department Name.Division Name.08,Research Assistant IV,2003-10-05,2003-10-05,72963.87,M,Active Assignment,Fulltime-Regular,
359491,Pennie,Le Sarr,Sales,R639.Department Name.Division Name.02,Professor,2003-12-02,2003-12-02,135171.87,F,Active Assignment,Fulltime-Regular,Black or African American
705915,Clemmie,McTrusty,Research and Development,R771.Department Name.Division Name.01,Registered Nurse,2002-12-10,2002-12-10,96235.71,M,Active Assignment,Fulltime-Regular,White
912806,Irene,Briddock,Sales,D126.Department Name.Division Name.00,Civil Engineer,2013-10-18,2013-10-18,111127.94,F,Active Assignment,Fulltime-Temporary,Hispanic or Latino of any race
521678,Ced,Skillen,Legal,A415.Department Name.Division Name.07,Web Designer IV,2009-06-02,2009-06-02,94309.58,M,Active Assignment,Fulltime-Regular,
422159,Elisabeth,Ventura,Sales,B796.Department Name.Division Name.01,GIS Technical Architect,2016-10-14,2016-10-14,125939.15,F,Active Assignment,Fulltime-Temporary,Black or African American
571449,Jarret,Giddy,Sales,I966.Department Name.Division Name.03,Senior Cost Accountant,2011-01-19,2011-01-19,139541.95,M,Active Assignment,Fulltime-Temporary,Black or African American
